hours_debugging,open_tabs
2.739233,33.0
6.4132514,80.0
2.529387,29.0
3.6564903,46.0
7.734954,95.0
2.360105,35.0
1.1383591,18.0
1.761425,27.0
2.8910174,38.0
2.102005,35.0
1.924273,28.0
5.615778,75.0
4.679751,59.0
2.7197537,34.0
0.8923545,17.0
2.7405605,37.0
2.3118434,33.0
2.6983242,37.0
0.3915081,9.0
4.8617163,65.0
1.0611057,17.0
0.8848033,17.0
0.7318673,13.0
5.6695347,70.0
1.5918932,30.0
2.3489966,34.0
7.1353626,92.0
6.123857,78.0
6.293565,82.0
0.20197392,9.0
1.1316009,15.0
2.489956,35.0
7.3043904,97.0
4.4092016,52.0
1.0084114,17.0
4.0250473,53.0
0.89331675,21.0
3.1236029,38.0
2.9000998,38.0
7.4626465,98.0
5.238947,63.0
3.3025155,44.0
4.675715,54.0
2.8453379,41.0
5.5716014,74.0
5.5822554,67.0
5.0741844,64.0
2.4408922,41.0
7.412603,91.0
3.4225202,45.0
2.4427333,39.0
6.505256,81.0
7.2602267,89.0
7.980639,100.0
5.1850333,63.0
2.6364245,40.0
6.031568,74.0
7.431818,93.0
0.076663494,1.0
3.5044522,55.0
1.2721381,23.0
4.745439,60.0
5.6543393,71.0
3.1736484,41.0
3.6653714,49.0
5.800443,71.0
3.327721,41.0
0.640882,16.0
7.200544,87.0
1.986742,25.0
3.560566,47.0
4.3773055,61.0
3.7596126,52.0
0.23725605,7.0
5.8352,76.0
2.183074,31.0
1.9253616,31.0
4.955662,66.0
1.9125519,29.0
2.1513615,30.0
2.6522002,40.0
2.4972897,40.0
2.3294501,34.0
2.9212565,40.0
5.039503,62.0
0.7631283,21.0
1.5788789,22.0
4.058366,53.0
4.5562725,59.0
6.20917,76.0
1.1902242,23.0
5.2767878,67.0
6.273559,82.0
6.2210407,80.0
0.27431393,8.0
2.4735832,33.0
0.56173754,14.0
1.4687543,19.0
6.2279315,79.0
3.4027238,47.0
5.6988454,78.0
1.6519747,28.0
4.6078396,62.0
1.5805683,28.0
5.999568,79.0
2.250484,35.0
2.9969635,41.0
0.52947474,17.0
4.013214,58.0
7.7979207,94.0
5.9415126,73.0
1.8658361,29.0
4.053795,58.0
3.5614061,52.0
0.77970314,8.0
7.1363645,91.0
4.0644827,54.0
4.842388,61.0
2.384684,28.0
2.1283236,26.0
4.6595583,62.0
5.4788437,73.0
4.897192,59.0
2.0722198,25.0
7.883591,107.0
3.4111824,45.0
1.5503397,24.0
2.1291494,26.0
7.937683,99.0
4.0001926,49.0
3.4570231,52.0
2.335353,32.0
2.9514184,38.0
0.6310859,9.0
0.8212662,18.0
6.341158,74.0
7.4217978,92.0
7.8172016,102.0
1.1122308,17.0
6.163453,81.0
1.5241337,26.0
6.386241,81.0
6.886217,91.0
7.095484,88.0
6.880205,89.0
6.502293,82.0
4.0778546,56.0
5.8379297,71.0
2.5689163,37.0
5.7417393,74.0
2.7143922,41.0
3.9328346,55.0
0.5184846,12.0
2.9541016,37.0
1.8965082,31.0
2.6507168,36.0
1.4456539,22.0
0.4022231,9.0
4.260466,60.0
6.5959167,78.0
7.6429977,92.0
6.3342166,82.0
1.9266505,27.0
0.043961048,4.0
5.5172553,74.0
6.2412558,78.0
0.5659518,8.0
5.4343443,69.0
7.381909,92.0
4.242306,59.0
1.5901647,33.0
7.2795053,90.0
5.7080636,75.0
6.6488047,86.0
1.294858,21.0
6.327782,85.0
1.2677054,22.0
7.9579773,98.0
2.305201,38.0
6.4102683,80.0
4.8009663,63.0
5.060042,71.0
3.38658,47.0
5.6429415,75.0
2.3329124,37.0
0.22968292,5.0
2.4631877,35.0
7.1341543,88.0
2.9469213,38.0
5.2572737,70.0
2.5210943,39.0
7.000597,91.0
6.393961,88.0
5.4120545,63.0
1.9553533,31.0
0.7314806,17.0
4.1505976,57.0
1.653369,25.0
7.288775,96.0
0.15609694,11.0
5.787473,74.0
7.987656,101.0
6.0033135,75.0
5.363915,62.0
0.15141344,5.0
7.847573,99.0
3.3158097,42.0
0.2623663,10.0
7.9486513,106.0
2.3722773,32.0
3.7170095,50.0
7.661118,93.0
1.2271972,17.0
1.1700401,18.0
4.6504693,62.0
3.4645844,50.0
4.921367,59.0
0.6451788,16.0
4.1196265,53.0
2.220961,30.0
2.0335646,29.0
0.3374524,9.0
6.1208735,81.0
4.770546,64.0
0.618227,13.0
7.1742077,90.0
5.2064834,65.0
4.742253,60.0
1.6514544,23.0
4.603218,60.0
7.854161,98.0
6.743538,83.0
0.8845191,18.0
7.6512847,97.0
4.310039,60.0
5.9238605,74.0
7.106705,91.0
7.4100366,95.0
0.88186073,22.0
7.5026555,93.0
1.2833004,21.0
4.2998643,49.0
1.2049456,20.0
3.123067,41.0
3.8182292,48.0
3.5214586,45.0
3.3680964,50.0
4.315482,52.0
7.945675,105.0
6.324046,82.0
